ID_INSPIRE,logAge,[M/H],SNR,mass_frac,time_75,time_90,time_100,dor_100,univ_age,mass_frac_reg,time_75_reg,time_90_reg,time_100_reg,dor_100_reg,mass_frac_unr,time_75_unr,time_90_unr,time_100_unr,dor_100_unr,dor_100_plus,dor_100_min
J0008+1417,10.036266278971146,0.2848299631519928,24.779487576399262,0.97462,1.13638,1.61736,10.5633,0.5217370157654297,11.612043340786027,0.97462,0.49774,1.45985,10.23069,0.9327064008500375,0.98401,1.13638,1.61736,10.5633,0.7381062686268297,0.9556392684559345,
J1513+1807,10.019046333049474,0.3614332855210388,23.029559423551518,0.91489,1.75536,2.16423,7.73719,0.5279601727099862,11.426767418586662,0.91489,1.75536,2.16423,7.73719,0.7408736160791817,0.99891,1.11001,1.51846,2.48379,0.9773301519906257,0.980788350802921,0.9781884381603373
J0937+2900,10.010025352926716,0.23993800214568972,21.29862995794437,0.90949,2.18273,2.83923,10.03602,0.4322417501955737,11.090073969039869,0.90949,2.18273,2.83923,10.03602,0.6445352479079066,0.97966,1.34724,1.93168,8.7559,0.7537544267283055,0.848768123141812,0.6906089340796203
J0003-1020,10.040831027417434,0.31733055034856733,25.157117722214917,0.88358,2.01262,4.3047,10.53961,0.42874473967635884,11.633795147475027,0.88358,2.01262,4.3047,10.53961,0.642021562612569,0.99818,1.0031,1.44694,2.84074,0.9841515995565727,,0.973347190056888
J1453+4254,10.018930998161775,0.3258462078727706,18.76631165338634,0.94554,1.76387,1.97559,6.67105,0.5650440820003243,11.184352166568528,0.94554,1.76387,1.97559,6.67105,0.7775149344444384,0.99953,1.14856,1.59113,2.4759,0.9711619766627079,0.965779637150293,0.9484526037849715
J1353+0202,10.020604007486993,0.31503786186121396,22.588259782534752,0.95093,1.09174,1.8814,9.55342,0.5453397502962657,11.454876957144199,0.95093,0.486,1.8814,9.55342,0.9485773302942349,0.99932,1.09174,1.50646,2.49507,0.9798290780535842,,0.9712050386139852
J1510+0546,10.046648854054926,0.3599172410642333,39.37388726480798,0.98685,2.07375,2.40125,4.64204,0.6298380168415461,11.647503736119795,0.98685,2.07375,2.40125,4.64204,0.8431384453894747,1.0,0.8925,1.27434,1.96998,1.0303636178274491,1.035331339903384,1.0321448170208702
J1055+4044,10.006000544230144,0.30359272754980576,18.847587906273223,0.95551,1.77939,2.61678,9.0339,0.4939130591648244,11.041700414585518,0.95551,1.77939,2.61678,8.45355,0.7236343280664285,0.97874,1.46687,2.06347,9.0339,0.7338132691349405,0.9341620920870378,0.6715402223406336
J2352+0002,9.807994447492254,0.11894087086989233,20.46127527768741,0.74364,2.98453,9.55462,9.99109,0.33794602189756917,10.354121796901104,0.74364,2.98453,9.55462,9.99109,0.5487440463065698,0.79754,1.83501,9.53331,9.99067,0.6017067385541828,0.5511157025756804,0.6115643248602519
J1330+0121,10.035828741480676,0.3489546959948022,31.934485248787844,0.97366,1.252,2.1388,11.30916,0.4857856332782817,11.586300848715068,0.97366,1.252,2.1388,11.23178,0.7012064332923188,0.99476,1.00974,1.4488,11.30916,0.7379522256560085,0.754124803997925,0.717000119922238
J1609+0047,10.016707442755528,0.29286978462644936,21.939233442734928,0.84564,1.79223,3.79024,9.53995,0.44434221636455895,11.167257902946137,0.84564,1.79223,3.79024,9.53995,0.6567811335967135,0.99639,1.15323,1.62576,3.62693,0.9350574505272967,0.9323954589678318,0.9506143514912319
J1241+1835,10.040075483173515,0.34126861914393214,35.77545750535827,0.94594,2.03791,2.39165,11.24027,0.4290260774361891,11.6568677233035,0.94594,2.03791,2.39165,11.17911,0.6440914959470044,0.99615,0.93751,1.35303,11.24027,0.755072012600622,0.7649638822347988,0.7305076780000698
J1508+6049,10.046280093777344,0.35622272026511137,36.80267783516871,0.99974,0.90228,2.28814,2.4963,0.7999343315729983,11.657570510710482,0.99974,0.8726,2.28814,2.4963,1.0195349008720618,1.0,0.90228,1.28944,1.97296,1.0283029645997026,1.0468246586068204,1.0265341391427842
J1247+2345,9.995104622062799,0.3173791977113793,19.451039053107003,0.74983,2.91149,4.75857,10.33554,0.34665836657529714,10.929750638913967,0.74983,2.91149,4.75857,10.32447,0.558980851544376,0.99392,0.97442,1.40078,10.33554,0.7538040353232996,,0.7441434897607196
J0840+2500,10.042822161084363,0.3156578643784495,34.636258729971,0.9522,0.92522,2.4324,10.34433,0.5553355577090219,11.667393819552755,0.9522,0.89666,2.4324,10.34433,0.7744077887250921,0.99738,0.92522,1.34893,10.04383,0.7923153167063711,0.9698440663805931,0.7585138893740883
J1302+0125,10.005618489607633,0.2570012475573945,22.55416336704536,0.93565,1.27764,1.89526,10.5303,0.48021411286315735,11.090712862606738,0.93565,1.19989,1.89526,10.5303,0.7009615957399461,0.96179,1.27764,1.86899,9.40367,0.7350832195083643,0.7413239104355892,0.6925802484560935
J0916+6347,10.014618999348706,0.28901624515828644,19.284542490506826,0.97834,1.2745,2.37532,8.91613,0.5450612804242286,11.1713121942491,0.97834,0.74425,2.37532,8.91613,0.8506766325291895,0.9872,1.2745,1.8095,4.45453,0.8935878205152675,0.9328957082632403,0.7270513185117755
J1421+2407,9.992371636987492,0.2740851012300648,16.840563453564688,0.97928,1.15276,1.65967,9.39453,0.5388495979239036,10.916291953432227,0.9875,1.08787,1.59792,9.39453,0.7621721890443204,0.97928,1.15276,1.65967,7.89803,0.796504376774872,0.8313106414922382,0.7769792157299517
J0102+1409,10.008540013551688,0.3079849687473138,20.682218324210798,0.96821,1.51296,1.9008,9.82366,0.49194359639572083,11.087780288715388,0.96821,1.51296,1.9008,9.31697,0.7194654268863935,0.98732,1.31337,1.85432,9.82366,0.7273434176342656,0.8038303984775877,0.7044130765121421
J1156+3454,9.991983200604386,0.16911914537056214,19.894076309437704,0.95242,1.30857,1.86929,8.26615,0.5483059572772946,10.971817276781675,0.95242,0.77724,1.46246,8.26615,0.8474411673493835,0.98617,1.30857,1.86929,4.32572,0.8913363669777407,0.8865683929798897,0.7031007390164247
J1512+0758,10.04529350935969,0.34987192415209867,29.263945111573612,0.99973,0.93167,1.33741,2.48808,0.7940009401569906,11.580987345414565,0.99973,0.69937,0.97335,2.48808,1.066605788315692,1.0,0.93167,1.33741,1.98097,1.0218723576865196,1.0147660882060283,0.973308023116644
J1233+1702,9.90563232105818,0.10625518415362509,17.091943503456044,0.73278,3.12714,6.51005,10.16288,0.3374597297715147,10.749714111786167,0.73278,3.12714,6.0713,10.16288,0.5490870594933192,0.77822,2.48362,6.51005,9.80738,0.5890667869319036,0.6301216204437045,0.4908265056957477
J1237+5715,10.01495572295116,0.3468949751644241,22.59035364202272,0.96305,1.22974,1.72479,10.38972,0.5040992959632854,11.302045869410343,0.96305,0.77817,1.6749,10.38972,0.7954351034671813,0.99726,1.22974,1.72479,2.96247,0.9472439935808706,0.9568710338985652,0.7217052800525835
J1317+0151,10.040905252250417,0.3586313326070582,38.08170413865906,0.9652,1.79313,2.34795,10.41698,0.4686670734843607,11.594876942916088,0.9652,1.79313,2.34795,10.41698,0.6818765767432499,0.99887,1.03102,1.45052,2.45586,0.9906736778253764,1.017785057188387,0.9792618960769751
J0859+0827,10.023488667947161,0.35111156510563024,36.13860969875145,0.98402,1.67495,2.09597,7.64116,0.5576717172639403,11.38788897152042,0.98402,1.67495,2.09597,7.64116,0.7705154467807217,0.99944,0.96303,1.37606,1.99329,1.0145328907302777,1.0225957637962484,0.982236666374674
J1710+3941,10.044656498536137,0.3634520078922909,41.921966480250305,0.97499,1.63962,2.26094,7.50577,0.5675472843626405,11.789030109005822,0.97499,1.63962,2.26094,7.50577,0.7810882063461134,0.9993,0.92499,1.32218,1.99943,1.0234151647256715,1.0229838990367341,1.0106323387516023
